Formulation,n,r_min,r_max,Instance,Status,Gap,Time,Cuts
SBF-A,10,0.5,0.5,1,Optimal,0.01602897,2.81,0
SBF-A,10,0.5,0.5,2,Optimal,0.00727062,2.88,0
SBF-A,10,0.5,0.5,3,Optimal,0.01091887,1.91,0
SBF-A,10,0.5,0.5,4,Optimal,0.00667567,1.43,0
SBF-A,10,0.4,0.6,0,Optimal,0.01087563,2.1,0
SBF-A,10,0.4,0.6,1,Optimal,0.01658971,2.16,0
SBF-A,10,0.4,0.6,2,Optimal,0.00649006,2.61,0
SBF-A,10,0.4,0.6,3,Optimal,0.011185,1.87,0
SBF-A,10,0.4,0.6,4,Optimal,0.00753473,1.2,0
SBF-A,10,0.25,0.75,0,Optimal,0.00891309,1.87,0
SBF-A,10,0.25,0.75,1,Optimal,0.01371034,3.52,0
SBF-A,10,0.25,0.75,2,Optimal,0.00560862,3.0,0
SBF-A,10,0.25,0.75,3,Optimal,0.00961005,1.76,0
SBF-A,10,0.25,0.75,4,Optimal,0.00998354,1.45,0
SBF-A,10,1.0,1.0,0,Optimal,0.00980866,2.02,0
SBF-A,10,1.0,1.0,1,Optimal,0.01089766,2.45,0
SBF-A,10,1.0,1.0,2,Optimal,0.01003505,2.65,0
SBF-A,10,1.0,1.0,3,Optimal,0.00578651,1.51,0
SBF-A,10,1.0,1.0,4,Optimal,0.00821511,0.49,0
SBF-A,10,0.8,1.2,0,Optimal,0.01260653,2.37,0
SBF-A,10,0.8,1.2,1,Optimal,0.01367928,2.53,0
SBF-A,10,0.8,1.2,2,Optimal,0.00806616,3.06,0
SBF-A,10,0.8,1.2,3,Optimal,0.004874,2.06,0
SBF-A,10,0.8,1.2,4,Optimal,0.00885089,0.55,0
SBF-A,10,0.5,1.5,0,Optimal,0.01428086,2.98,0
SBF-A,10,0.5,1.5,1,Optimal,0.01300919,2.3,0
SBF-A,10,0.5,1.5,2,Optimal,0.00960317,2.3,0
SBF-A,10,0.5,1.5,3,Optimal,0.0058599,2.0,0
SBF-A,10,0.5,1.5,4,Optimal,0.00805183,0.39,0
SBF-A-D-enum,10,0.25,0.25,0,Optimal,0.0,5.5,180
SBF-A-D-enum,10,0.25,0.25,1,Optimal,0.0,5.88,152
SBF-A-D-enum,10,0.25,0.25,2,Optimal,0.0,10.55,540
SBF-A-D-enum,10,0.25,0.25,3,Optimal,0.0,7.03,284
SBF-A-D-enum,10,0.25,0.25,4,Optimal,0.0,4.72,156
SBF-A-D-enum,10,0.2,0.3,0,Optimal,0.0,8.1,318
SBF-A-D-enum,10,0.2,0.3,1,Optimal,0.0,6.74,120
SBF-A-D-enum,10,0.2,0.3,2,Optimal,0.0,5.56,194
SBF-A-D-enum,10,0.2,0.3,3,Optimal,0.0,4.53,126
SBF-A-D-enum,10,0.2,0.3,4,Optimal,0.0,7.42,482
SBF-A-D-enum,10,0.125,0.375,0,Optimal,0.0,5.63,236
SBF-A-D-enum,10,0.125,0.375,1,Optimal,0.0,7.27,242
SBF-A-D-enum,10,0.125,0.375,2,Optimal,0.0,6.42,98
SBF-A-D-enum,10,0.125,0.375,3,Optimal,0.0,3.72,100
SBF-A-D-enum,10,0.125,0.375,4,Optimal,0.0,4.24,68
SBF-A-D-enum,10,0.5,0.5,0,Optimal,0.0,4.3,170
SBF-A-D-enum,10,0.5,0.5,1,Optimal,0.0,4.8,40
SBF-A-D-enum,10,0.5,0.5,2,Optimal,0.0,4.96,112
SBF-A-D-enum,10,0.5,0.5,3,Optimal,0.0,4.08,164
SBF-A-D-enum,10,0.5,0.5,4,Optimal,0.0,4.29,114
SBF-A-D-enum,10,0.4,0.6,0,Optimal,0.0,4.65,170
SBF-A-D-enum,10,0.4,0.6,1,Optimal,0.0,5.58,150
SBF-A-D-enum,10,0.4,0.6,2,Optimal,0.0,5.6,58
SBF-A-D-enum,10,0.4,0.6,3,Optimal,0.0,5.96,460
SBF-A-D-enum,10,0.4,0.6,4,Optimal,0.0,4.14,100
SBF-A-D-enum,10,0.25,0.75,0,Optimal,0.0,7.79,220
SBF-A-D-enum,10,0.25,0.75,1,Optimal,0.0,6.25,194
SBF-A-D-enum,10,0.25,0.75,2,Optimal,0.0,6.13,82
SBF-A-D-enum,10,0.25,0.75,3,Optimal,0.0,6.12,258
SBF-A-D-enum,10,0.25,0.75,4,Optimal,0.0,3.38,96
SBF-A-D-enum,10,1.0,1.0,0,Optimal,0.0,6.61,228
SBF-A-D-enum,10,1.0,1.0,1,Optimal,0.0,7.67,282
SBF-A-D-enum,10,1.0,1.0,2,Optimal,0.0,4.69,172
SBF-A-D-enum,10,1.0,1.0,3,Optimal,0.0,3.46,90
SBF-A-D-enum,10,1.0,1.0,4,Optimal,0.0,1.59,72
SBF-A-D-enum,10,0.8,1.2,0,Optimal,0.0,9.13,540
SBF-A-D-enum,10,0.8,1.2,1,Optimal,0.0,7.9,230
SBF-A-D-enum,10,0.8,1.2,2,Optimal,0.0,8.23,254
SBF-A-D-enum,10,0.8,1.2,3,Optimal,0.0,6.47,108
SBF-A-D-enum,10,0.8,1.2,4,Optimal,0.0,1.36,42
SBF-A-D-enum,10,0.5,1.5,0,Optimal,0.0,10.1,588
SBF-A-D-enum,10,0.5,1.5,1,Optimal,0.0,6.2,60
SBF-A-D-enum,10,0.5,1.5,2,Optimal,0.0,7.35,186
SBF-A-D-enum,10,0.5,1.5,3,Optimal,0.0,5.02,184
SBF-A-D-enum,10,0.5,1.5,4,Optimal,0.0,3.26,368
ABF-A,15,0.25,0.25,0,Optimal,0.01015295,10.19,0
ABF-A,15,0.25,0.25,1,Optimal,0.00789589,7.55,0
ABF-A,15,0.25,0.25,2,Optimal,0.00702363,10.88,0
ABF-A,15,0.25,0.25,3,Optimal,0.01228069,12.89,0
ABF-A,15,0.25,0.25,4,Optimal,0.00938756,2.95,0
ABF-A,15,0.2,0.3,0,Optimal,0.00984052,9.22,0
ABF-A,15,0.2,0.3,1,Optimal,0.00783286,8.99,0
ABF-A,15,0.2,0.3,2,Optimal,0.00675475,11.08,0
ABF-A,15,0.2,0.3,3,Optimal,0.01219245,12.99,0
ABF-A,15,0.2,0.3,4,Optimal,0.00907282,2.21,0
ABF-A,15,0.125,0.375,0,Optimal,0.00873788,7.28,0
ABF-A,15,0.125,0.375,1,Optimal,0.00818368,9.48,0
ABF-A,15,0.125,0.375,2,Optimal,0.00702881,11.42,0
ABF-A,15,0.125,0.375,3,Optimal,0.01234165,15.12,0
ABF-A,15,0.125,0.375,4,Optimal,0.00887665,2.08,0
ABF-A,15,0.5,0.5,0,Optimal,0.00946333,37.88,0
ABF-A,15,0.5,0.5,1,Optimal,0.00994722,22.23,0
ABF-A,15,0.5,0.5,2,Optimal,0.0065814,78.16,0
ABF-A,15,0.5,0.5,3,Optimal,0.00992991,175.68,0
ABF-A,15,0.5,0.5,4,Optimal,0.00913086,15.31,0
ABF-A,15,0.4,0.6,0,Optimal,0.00998202,36.09,0
ABF-A,15,0.4,0.6,1,Optimal,0.00830558,20.27,0
ABF-A,15,0.4,0.6,2,Optimal,0.00672538,87.11,0
ABF-A,15,0.4,0.6,3,Optimal,0.00988578,200.31,0
ABF-A,15,0.4,0.6,4,Optimal,0.00987483,15.79,0
ABF-A,15,0.25,0.75,0,Optimal,0.00746265,40.46,0
ABF-A,15,0.25,0.75,1,Optimal,0.00710063,51.86,0
ABF-A,15,0.25,0.75,2,Optimal,0.00669566,81.28,0
ABF-A,15,0.25,0.75,3,Optimal,0.01051894,130.85,0
ABF-A,15,0.25,0.75,4,Optimal,0.00902276,18.49,0
ABF-A,15,1.0,1.0,0,Optimal,0.01181285,265.52,0
ABF-A,15,1.0,1.0,1,Optimal,0.00552748,252.82,0
ABF-A,15,1.0,1.0,2,Time_limit,0.16776545,600.03,0
ABF-A,15,1.0,1.0,3,Time_limit,0.29977592,600.1,0
ABF-A,15,1.0,1.0,4,Optimal,0.00822228,411.82,0
ABF-A,15,0.8,1.2,0,Optimal,0.01061186,396.28,0
ABF-A,15,0.8,1.2,1,Time_limit,0.07694005,600.08,0
